Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
216,Entry long,2025-10-08 07:58,Long,121574.2,0.008225,999.947795,3.96,0.40,8.66,0.86,-2.29,-0.23,-829.25,-8.29
217,Exit long,2025-10-08 09:32,Close entry(s) order Long,122515.73,0.008158,999.8919596,-4.41,-0.44,0,0.00,-2.94,-0.29,-833.66,-8.34
217,Entry long,2025-10-08 09:20,Long,122565.82,0.008158,999.8919596,-4.41,-0.44,0,0.00,-2.94,-0.29,-833.66,-8.34
218,Exit long,2025-10-08 09:42,Close entry(s) order Long,122487.21,0.008157,999.9114887,-4.78,-0.48,0,0.00,-2.78,-0.28,-838.44,-8.38
218,Entry long,2025-10-08 09:41,Long,122583.24,0.008157,999.9114887,-4.78,-0.48,0,0.00,-2.78,-0.28,-838.44,-8.38
219,Exit long,2025-10-08 11:23,Close entry(s) order Long,122973.42,0.00816,999.9730752,-0.52,-0.05,3.81,0.38,-2,-0.20,-838.96,-8.39
219,Entry long,2025-10-08 10:00,Long,122545.72,0.00816,999.9730752,-0.52,-0.05,3.81,0.38,-2,-0.20,-838.96,-8.39
220,Exit long,2025-10-08 11:34,Close entry(s) order Long,123018.47,0.008125,999.9637375,-4.44,-0.44,0,0.00,-2.63,-0.26,-843.4,-8.43
220,Entry long,2025-10-08 11:29,Long,123072.46,0.008125,999.9637375,-4.44,-0.44,0,0.00,-2.63,-0.26,-843.4,-8.43
221,Exit long,2025-10-08 11:38,Close entry(s) order Long,122973.96,0.008127,999.9222679,-4.51,-0.45,0,0.00,-2.54,-0.25,-847.91,-8.48
221,Entry long,2025-10-08 11:37,Long,123037.07,0.008127,999.9222679,-4.51,-0.45,0,0.00,-2.54,-0.25,-847.91,-8.48
222,Exit long,2025-10-08 12:22,Close entry(s) order Long,122792.81,0.008123,999.9364262,-6.49,-0.65,0,0.00,-4.52,-0.45,-854.39,-8.54
222,Entry long,2025-10-08 12:13,Long,123099.4,0.008123,999.9364262,-6.49,-0.65,0,0.00,-4.52,-0.45,-854.39,-8.54
223,Exit long,2025-10-08 13:07,Close entry(s) order Long,122592.65,0.008148,999.9536039,-5.07,-0.51,0,0.00,-3.07,-0.31,-859.46,-8.59
223,Entry long,2025-10-08 13:04,Long,122723.81,0.008148,999.9536039,-5.07,-0.51,0,0.00,-3.07,-0.31,-859.46,-8.59
224,Exit long,2025-10-08 13:22,Close entry(s) order Long,122601.61,0.008146,999.9046378,-5.19,-0.52,0,0.00,-3.19,-0.32,-864.65,-8.65
224,Entry long,2025-10-08 13:16,Long,122747.93,0.008146,999.9046378,-5.19,-0.52,0,0.00,-3.19,-0.32,-864.65,-8.65
225,Exit long,2025-10-08 14:26,Close entry(s) order Long,122711.72,0.008162,999.9542892,-2.38,-0.24,5.14,0.51,-2.28,-0.23,-867.03,-8.67
225,Entry long,2025-10-08 13:58,Long,122513.39,0.008162,999.9542892,-2.38,-0.24,5.14,0.51,-2.28,-0.23,-867.03,-8.67
226,Exit long,2025-10-08 15:21,Close entry(s) order Long,122328.63,0.008154,999.9312986,-6.46,-0.64,0,0.00,-5.06,-0.50,-873.49,-8.73
226,Entry long,2025-10-08 15:12,Long,122630.77,0.008154,999.9312986,-6.46,-0.64,0,0.00,-5.06,-0.50,-873.49,-8.73
227,Exit long,2025-10-08 15:32,Close entry(s) order Long,122298.06,0.008158,999.9397654,-6.23,-0.62,0,0.00,-4.45,-0.44,-879.72,-8.80
227,Entry long,2025-10-08 15:26,Long,122571.68,0.008158,999.9397654,-6.23,-0.62,0,0.00,-4.45,-0.44,-879.72,-8.80
228,Exit long,2025-10-08 18:16,Close entry(s) order Long,123827.64,0.008173,999.9038631,8.12,0.81,13.12,1.31,-2.05,-0.21,-871.6,-8.72
228,Entry long,2025-10-08 16:06,Long,122342.33,0.008173,999.9038631,8.12,0.81,13.12,1.31,-2.05,-0.21,-871.6,-8.72
229,Exit long,2025-10-08 18:59,Close entry(s) order Long,123447.72,0.008079,999.9129467,-6.57,-0.66,0,0.00,-4.63,-0.46,-878.18,-8.78
229,Entry long,2025-10-08 18:52,Long,123766.92,0.008079,999.9129467,-6.57,-0.66,0,0.00,-4.63,-0.46,-878.18,-8.78
230,Exit long,2025-10-08 19:44,Close entry(s) order Long,123433.77,0.008091,999.9857038,-5.28,-0.53,0,0.00,-3.57,-0.36,-883.46,-8.83
230,Entry long,2025-10-08 19:25,Long,123592.35,0.008091,999.9857038,-5.28,-0.53,0,0.00,-3.57,-0.36,-883.46,-8.83
231,Exit long,2025-10-08 20:33,Close entry(s) order Long,123409.08,0.008091,999.9040657,-5.4,-0.54,0,0.00,-3.43,-0.34,-888.86,-8.89
231,Entry long,2025-10-08 20:16,Long,123582.26,0.008091,999.9040657,-5.4,-0.54,0,0.00,-3.43,-0.34,-888.86,-8.89
232,Exit long,2025-10-08 21:50,Close entry(s) order Long,123178.86,0.008118,999.8865914,-3.92,-0.39,0,0.00,-2.18,-0.22,-892.78,-8.93
232,Entry long,2025-10-08 21:21,Long,123169.08,0.008118,999.8865914,-3.92,-0.39,0,0.00,-2.18,-0.22,-892.78,-8.93
233,Exit long,2025-10-08 22:28,Close entry(s) order Long,123277.05,0.008108,999.9658021,-4.43,-0.44,0,0.00,-2.53,-0.25,-897.21,-8.97
233,Entry long,2025-10-08 22:00,Long,123330.76,0.008108,999.9658021,-4.43,-0.44,0,0.00,-2.53,-0.25,-897.21,-8.97
234,Exit long,2025-10-08 22:47,Close entry(s) order Long,123250.81,0.008108,999.9106677,-4.59,-0.46,0,0.00,-2.59,-0.26,-901.8,-9.02
234,Entry long,2025-10-08 22:32,Long,123323.96,0.008108,999.9106677,-4.59,-0.46,0,0.00,-2.59,-0.26,-901.8,-9.02
235,Exit long,2025-10-08 23:46,Close entry(s) order Long,123335.94,0.00811,999.970299,-3.72,-0.37,0,0.00,-2.63,-0.26,-905.52,-9.06
235,Entry long,2025-10-08 23:18,Long,123300.9,0.00811,999.970299,-3.72,-0.37,0,0.00,-2.63,-0.26,-905.52,-9.06
236,Exit long,2025-10-09 00:26,Close entry(s) order Long,123171.1,0.008112,999.941255,-4.78,-0.48,0,0.00,-2.78,-0.28,-910.29,-9.10
236,Entry long,2025-10-09 00:23,Long,123266.92,0.008112,999.941255,-4.78,-0.48,0,0.00,-2.78,-0.28,-910.29,-9.10
237,Exit long,2025-10-09 00:53,Close entry(s) order Long,123000.2,0.008122,999.9587106,-4.95,-0.49,0,0.00,-3.05,-0.30,-915.24,-9.15
237,Entry long,2025-10-09 00:50,Long,123117.3,0.008122,999.9587106,-4.95,-0.49,0,0.00,-3.05,-0.30,-915.24,-9.15
238,Exit long,2025-10-09 02:02,Close entry(s) order Long,122318.96,0.008158,999.9370733,-6.05,-0.60,0,0.00,-4.06,-0.41,-921.3,-9.21
238,Entry long,2025-10-09 01:58,Long,122571.35,0.008158,999.9370733,-6.05,-0.60,0,0.00,-4.06,-0.41,-921.3,-9.21
239,Exit long,2025-10-09 04:07,Close entry(s) order Long,121993.28,0.008199,999.8957626,-3.67,-0.37,0,0.00,-2.91,-0.29,-924.97,-9.25
239,Entry long,2025-10-09 03:06,Long,121953.38,0.008199,999.8957626,-3.67,-0.37,0,0.00,-2.91,-0.29,-924.97,-9.25
240,Exit long,2025-10-09 04:38,Close entry(s) order Long,122086.05,0.008191,999.8838886,-3.88,-0.39,0,0.00,-2.13,-0.21,-928.85,-9.29
240,Entry long,2025-10-09 04:18,Long,122071.04,0.008191,999.8838886,-3.88,-0.39,0,0.00,-2.13,-0.21,-928.85,-9.29
241,Exit long,2025-10-09 05:12,Close entry(s) order Long,122135.55,0.008182,999.9170653,-4.6,-0.46,0,0.00,-2.7,-0.27,-933.45,-9.33
241,Entry long,2025-10-09 04:50,Long,122209.37,0.008182,999.9170653,-4.6,-0.46,0,0.00,-2.7,-0.27,-933.45,-9.33
242,Exit long,2025-10-09 05:36,Close entry(s) order Long,121930.31,0.008185,999.8883579,-5.88,-0.59,0,0.00,-3.93,-0.39,-939.33,-9.39
242,Entry long,2025-10-09 05:32,Long,122161.07,0.008185,999.8883579,-5.88,-0.59,0,0.00,-3.93,-0.39,-939.33,-9.39
243,Exit long,2025-10-09 06:09,Close entry(s) order Long,121968.79,0.00819,999.9106299,-4.98,-0.50,0,0.00,-2.99,-0.30,-944.32,-9.44
243,Entry long,2025-10-09 05:50,Long,122089.21,0.00819,999.9106299,-4.98,-0.50,0,0.00,-2.99,-0.30,-944.32,-9.44
244,Exit long,2025-10-09 06:51,Close entry(s) order Long,122055.44,0.008189,999.9397915,-4.43,-0.44,0,0.00,-2.59,-0.26,-948.74,-9.49
244,Entry long,2025-10-09 06:26,Long,122107.68,0.008189,999.9397915,-4.43,-0.44,0,0.00,-2.59,-0.26,-948.74,-9.49
245,Exit long,2025-10-09 07:14,Close entry(s) order Long,121992.43,0.008192,999.972864,-4.61,-0.46,0,0.00,-2.69,-0.27,-953.35,-9.53
245,Entry long,2025-10-09 07:09,Long,122067,0.008192,999.972864,-4.61,-0.46,0,0.00,-2.69,-0.27,-953.35,-9.53
246,Exit long,2025-10-09 08:06,Close entry(s) order Long,121781.13,0.008196,999.973552,-5.85,-0.58,0,0.00,-3.91,-0.39,-959.21,-9.59
246,Entry long,2025-10-09 07:51,Long,122007.51,0.008196,999.973552,-5.85,-0.58,0,0.00,-3.91,-0.39,-959.21,-9.59
247,Exit long,2025-10-09 10:20,Close entry(s) order Long,121831.11,0.00823,999.8994058,-1.23,-0.12,1.77,0.18,-2.23,-0.22,-960.44,-9.60
247,Entry long,2025-10-09 09:03,Long,121494.46,0.00823,999.8994058,-1.23,-0.12,1.77,0.18,-2.23,-0.22,-960.44,-9.60
248,Exit long,2025-10-09 13:09,Close entry(s) order Long,123376.93,0.008196,999.9189666,7.26,0.72,12.73,1.27,-2.28,-0.23,-953.18,-9.53
248,Entry long,2025-10-09 10:32,Long,122000.85,0.008196,999.9189666,7.26,0.72,12.73,1.27,-2.28,-0.23,-953.18,-9.53
249,Exit long,2025-10-09 13:32,Close entry(s) order Long,123300.78,0.008098,999.957317,-5.46,-0.55,0,0.00,-3.47,-0.35,-958.65,-9.59
249,Entry long,2025-10-09 13:23,Long,123482.01,0.008098,999.957317,-5.46,-0.55,0,0.00,-3.47,-0.35,-958.65,-9.59
250,Exit long,2025-10-09 15:11,Close entry(s) order Long,121324.39,0.008225,999.925752,-6.03,-0.60,0,0.00,-4.03,-0.40,-964.68,-9.65
250,Entry long,2025-10-09 15:02,Long,121571.52,0.008225,999.925752,-6.03,-0.60,0,0.00,-4.03,-0.40,-964.68,-9.65
251,Exit long,2025-10-09 16:24,Close entry(s) order Long,121112.86,0.008262,999.9810904,-3.35,-0.33,1.71,0.17,-2.06,-0.21,-968.02,-9.68
251,Entry long,2025-10-09 15:52,Long,121033.78,0.008262,999.9810904,-3.35,-0.33,1.71,0.17,-2.06,-0.21,-968.02,-9.68
252,Exit long,2025-10-09 16:31,Close entry(s) order Long,121212.67,0.008249,999.9931915,-4.11,-0.41,0,0.00,-2.28,-0.23,-972.13,-9.72
252,Entry long,2025-10-09 16:30,Long,121225.99,0.008249,999.9931915,-4.11,-0.41,0,0.00,-2.28,-0.23,-972.13,-9.72
253,Exit long,2025-10-09 16:40,Close entry(s) order Long,121127.32,0.008247,999.9237616,-4.98,-0.50,0,0.00,-3.09,-0.31,-977.12,-9.77
253,Entry long,2025-10-09 16:38,Long,121246.97,0.008247,999.9237616,-4.98,-0.50,0,0.00,-3.09,-0.31,-977.12,-9.77
254,Exit long,2025-10-09 18:23,Close entry(s) order Long,120707.16,0.008298,999.9205342,-2.3,-0.23,3.36,0.34,-4.14,-0.41,-979.41,-9.79
254,Entry long,2025-10-09 17:20,Long,120501.39,0.008298,999.9205342,-2.3,-0.23,3.36,0.34,-4.14,-0.41,-979.41,-9.79
255,Exit long,2025-10-09 19:38,Close entry(s) order Long,120941.06,0.008283,999.8861552,-2.13,-0.21,1.56,0.16,-2.39,-0.24,-981.55,-9.82
255,Entry long,2025-10-09 18:58,Long,120715.46,0.008283,999.8861552,-2.13,-0.21,1.56,0.16,-2.39,-0.24,-981.55,-9.82
256,Exit long,2025-10-09 20:14,Close entry(s) order Long,120890.22,0.00826,999.9280942,-5.37,-0.54,0,0.00,-3.39,-0.34,-986.92,-9.87
256,Entry long,2025-10-09 19:54,Long,121056.67,0.00826,999.9280942,-5.37,-0.54,0,0.00,-3.39,-0.34,-986.92,-9.87
257,Exit long,2025-10-09 20:36,Close entry(s) order Long,120970.27,0.008267,999.97756,-3.92,-0.39,0,0.00,-2.14,-0.21,-990.84,-9.91
257,Entry long,2025-10-09 20:35,Long,120960.15,0.008267,999.97756,-3.92,-0.39,0,0.00,-2.14,-0.21,-990.84,-9.91
258,Exit long,2025-10-09 23:02,Close entry(s) order Long,121580.85,0.008265,999.9797878,0.88,0.09,4.5,0.45,-2.43,-0.24,-989.96,-9.90
258,Entry long,2025-10-09 20:39,Long,120989.69,0.008265,999.9797878,0.88,0.09,4.5,0.45,-2.43,-0.24,-989.96,-9.90
259,Exit long,2025-10-10 00:44,Close entry(s) order Long,121710.08,0.008228,999.9969738,-2.57,-0.26,0.7,0.07,-2.19,-0.22,-992.53,-9.93
259,Entry long,2025-10-09 23:45,Long,121535.85,0.008228,999.9969738,-2.57,-0.26,0.7,0.07,-2.19,-0.22,-992.53,-9.93
260,Exit long,2025-10-10 01:21,Close entry(s) order Long,121722.89,0.008211,999.9004369,-4.43,-0.44,0,0.00,-2.43,-0.24,-996.96,-9.97
260,Entry long,2025-10-10 00:56,Long,121775.72,0.008211,999.9004369,-4.43,-0.44,0,0.00,-2.43,-0.24,-996.96,-9.97
261,Exit long,2025-10-10 01:37,Close entry(s) order Long,121702.89,0.008209,999.9800738,-4.92,-0.49,0,0.00,-2.92,-0.29,-1001.88,-10.02
261,Entry long,2025-10-10 01:30,Long,121815.09,0.008209,999.9800738,-4.92,-0.49,0,0.00,-2.92,-0.29,-1001.88,-10.02
262,Exit long,2025-10-10 03:53,Close entry(s) order Long,121292.76,0.008252,999.9507886,-3.04,-0.30,1.34,0.13,-2.07,-0.21,-1004.93,-10.05
262,Entry long,2025-10-10 03:18,Long,121176.78,0.008252,999.9507886,-3.04,-0.30,1.34,0.13,-2.07,-0.21,-1004.93,-10.05
263,Exit long,2025-10-10 04:27,Close entry(s) order Long,121263.19,0.008239,999.8874293,-4.8,-0.48,0,0.00,-3.48,-0.35,-1009.72,-10.10
263,Entry long,2025-10-10 04:14,Long,121360.29,0.008239,999.8874293,-4.8,-0.48,0,0.00,-3.48,-0.35,-1009.72,-10.10
264,Exit long,2025-10-10 04:34,Close entry(s) order Long,121201.06,0.00824,999.9098272,-5.21,-0.52,0,0.00,-3.48,-0.35,-1014.94,-10.15
264,Entry long,2025-10-10 04:31,Long,121348.28,0.00824,999.9098272,-5.21,-0.52,0,0.00,-3.48,-0.35,-1014.94,-10.15
265,Exit long,2025-10-10 05:03,Close entry(s) order Long,121137.73,0.008246,999.9150725,-5.01,-0.50,0,0.00,-3.01,-0.30,-1019.95,-10.20
265,Entry long,2025-10-10 04:53,Long,121260.62,0.008246,999.9150725,-5.01,-0.50,0,0.00,-3.01,-0.30,-1019.95,-10.20
266,Exit long,2025-10-10 06:28,Close entry(s) order Long,121514.27,0.008249,999.8909864,-1.52,-0.15,2.49,0.25,-2,-0.20,-1021.47,-10.21
266,Entry long,2025-10-10 05:20,Long,121213.6,0.008249,999.8909864,-1.52,-0.15,2.49,0.25,-2,-0.20,-1021.47,-10.21
267,Exit long,2025-10-10 06:50,Close entry(s) order Long,121422.38,0.008215,999.9584704,-6.47,-0.65,0,0.00,-4.47,-0.45,-1027.94,-10.28
267,Entry long,2025-10-10 06:41,Long,121723.49,0.008215,999.9584704,-6.47,-0.65,0,0.00,-4.47,-0.45,-1027.94,-10.28
268,Exit long,2025-10-10 09:49,Close entry(s) order Long,121427.88,0.008252,999.913572,-1.89,-0.19,3.24,0.32,-2.8,-0.28,-1029.83,-10.30
268,Entry long,2025-10-10 08:06,Long,121172.27,0.008252,999.913572,-1.89,-0.19,3.24,0.32,-2.8,-0.28,-1029.83,-10.30
269,Exit long,2025-10-10 10:24,Close entry(s) order Long,121407.63,0.008231,999.9472328,-4.64,-0.46,0,0.00,-3.06,-0.30,-1034.47,-10.34
269,Entry long,2025-10-10 10:20,Long,121485.51,0.008231,999.9472328,-4.64,-0.46,0,0.00,-3.06,-0.30,-1034.47,-10.34
270,Exit long,2025-10-10 11:23,Close entry(s) order Long,121471.95,0.008234,999.9420651,-3.74,-0.37,0.1,0.01,-3.91,-0.39,-1038.22,-10.38
270,Entry long,2025-10-10 10:50,Long,121440.62,0.008234,999.9420651,-3.74,-0.37,0.1,0.01,-3.91,-0.39,-1038.22,-10.38
271,Exit long,2025-10-10 11:48,Close entry(s) order Long,121518.82,0.008227,999.9776996,-4.24,-0.42,0,0.00,-2.51,-0.25,-1042.46,-10.42
271,Entry long,2025-10-10 11:38,Long,121548.28,0.008227,999.9776996,-4.24,-0.42,0,0.00,-2.51,-0.25,-1042.46,-10.42
272,Exit long,2025-10-10 12:14,Close entry(s) order Long,121547.49,0.008224,999.9045955,-4.3,-0.43,0,0.00,-2.38,-0.24,-1046.75,-10.47
272,Entry long,2025-10-10 11:51,Long,121583.73,0.008224,999.9045955,-4.3,-0.43,0,0.00,-2.38,-0.24,-1046.75,-10.47
273,Exit long,2025-10-10 12:31,Close entry(s) order Long,121549.03,0.008223,999.9954941,-4.5,-0.45,0,0.00,-2.64,-0.26,-1051.25,-10.51
273,Entry long,2025-10-10 12:27,Long,121609.57,0.008223,999.9954941,-4.5,-0.45,0,0.00,-2.64,-0.26,-1051.25,-10.51
274,Exit long,2025-10-10 12:37,Close entry(s) order Long,121526.05,0.008224,999.9823946,-4.55,-0.45,0,0.00,-2.55,-0.25,-1055.8,-10.56
274,Entry long,2025-10-10 12:35,Long,121593.19,0.008224,999.9823946,-4.55,-0.45,0,0.00,-2.55,-0.25,-1055.8,-10.56
275,Exit long,2025-10-10 13:50,Close entry(s) order Long,121766.97,0.008225,999.9904005,-2.46,-0.25,6.17,0.62,-2,-0.20,-1058.26,-10.58
275,Entry long,2025-10-10 12:53,Long,121579.38,0.008225,999.9904005,-2.46,-0.25,6.17,0.62,-2,-0.20,-1058.26,-10.58
276,Exit long,2025-10-10 14:14,Close entry(s) order Long,121709.82,0.008194,999.9387298,-6.64,-0.66,0,0.00,-5.43,-0.54,-1064.91,-10.65
276,Entry long,2025-10-10 14:07,Long,122033.04,0.008194,999.9387298,-6.64,-0.66,0,0.00,-5.43,-0.54,-1064.91,-10.65
277,Exit long,2025-10-10 16:43,Close entry(s) order Long,118946.06,0.008384,999.9839936,-6.73,-0.67,0.32,0.03,-4.81,-0.48,-1071.64,-10.72
277,Entry long,2025-10-10 16:26,Long,119272.9,0.008384,999.9839936,-6.73,-0.67,0.32,0.03,-4.81,-0.48,-1071.64,-10.72
278,Exit long,2025-10-10 17:31,Close entry(s) order Long,118191.96,0.008462,999.8931059,-3.75,-0.37,0,0.00,-2.37,-0.24,-1075.39,-10.75
278,Entry long,2025-10-10 17:30,Long,118162.74,0.008462,999.8931059,-3.75,-0.37,0,0.00,-2.37,-0.24,-1075.39,-10.75
279,Exit long,2025-10-10 18:32,Close entry(s) order Long,117709.61,0.008484,999.900909,-5.25,-0.52,0,0.00,-3.77,-0.38,-1080.64,-10.81
279,Entry long,2025-10-10 18:25,Long,117857.25,0.008484,999.900909,-5.25,-0.52,0,0.00,-3.77,-0.38,-1080.64,-10.81
280,Exit long,2025-10-10 20:09,Close entry(s) order Long,116725.02,0.008558,999.992715,-5.06,-0.50,1.07,0.11,-3.5,-0.35,-1085.7,-10.86
280,Entry long,2025-10-10 19:43,Long,116848.88,0.008558,999.992715,-5.06,-0.50,1.07,0.11,-3.5,-0.35,-1085.7,-10.86
281,Exit long,2025-10-10 20:50,Close entry(s) order Long,116553.4,0.008548,999.906574,-7.6,-0.76,1.49,0.15,-5.94,-0.59,-1093.3,-10.93
281,Entry long,2025-10-10 20:15,Long,116975.5,0.008548,999.906574,-7.6,-0.76,1.49,0.15,-5.94,-0.59,-1093.3,-10.93
282,Exit long,2025-10-10 22:05,Close entry(s) order Long,114116.39,0.008721,999.9695695,-8.75,-0.87,44.14,4.41,-10.46,-1.04,-1102.05,-11.02
282,Entry long,2025-10-10 21:34,Long,114662.26,0.008721,999.9695695,-8.75,-0.87,44.14,4.41,-10.46,-1.04,-1102.05,-11.02
283,Exit long,2025-10-10 23:03,Close entry(s) order Long,115331.29,0.008665,999.9416932,-4.59,-0.46,5.12,0.51,-3.44,-0.34,-1106.65,-11.07
283,Entry long,2025-10-10 22:44,Long,115400.08,0.008665,999.9416932,-4.59,-0.46,5.12,0.51,-3.44,-0.34,-1106.65,-11.07
284,Exit long,2025-10-10 23:51,Close entry(s) order Long,115159.47,0.008646,999.9532165,-8.28,-0.83,4.78,0.48,-7.69,-0.77,-1114.92,-11.15
284,Entry long,2025-10-10 23:27,Long,115655.01,0.008646,999.9532165,-8.28,-0.83,4.78,0.48,-7.69,-0.77,-1114.92,-11.15
285,Exit long,2025-10-11 00:58,Close entry(s) order Long,113730.89,0.008771,999.9833765,-6.44,-0.64,1.2,0.12,-4.68,-0.47,-1121.37,-11.21
285,Entry long,2025-10-11 00:46,Long,114010.19,0.008771,999.9833765,-6.44,-0.64,1.2,0.12,-4.68,-0.47,-1121.37,-11.21
286,Exit long,2025-10-11 03:06,Close entry(s) order Long,113249.49,0.008889,999.8909874,2.77,0.28,13.32,1.33,-3.45,-0.34,-1118.6,-11.19
286,Entry long,2025-10-11 02:07,Long,112486.33,0.008889,999.8909874,2.77,0.28,13.32,1.33,-3.45,-0.34,-1118.6,-11.19
287,Exit long,2025-10-11 04:28,Close entry(s) order Long,113091.64,0.008853,999.9142136,-2.72,-0.27,3.15,0.31,-2.9,-0.29,-1121.31,-11.21
287,Entry long,2025-10-11 03:52,Long,112946.37,0.008853,999.9142136,-2.72,-0.27,3.15,0.31,-2.9,-0.29,-1121.31,-11.21
288,Exit long,2025-10-11 05:19,Close entry(s) order Long,113530.29,0.008838,999.9112577,-0.54,-0.05,6.41,0.64,-2.29,-0.23,-1121.85,-11.22
288,Entry long,2025-10-11 04:50,Long,113137.73,0.008838,999.9112577,-0.54,-0.05,6.41,0.64,-2.29,-0.23,-1121.85,-11.22
289,Exit long,2025-10-11 06:07,Close entry(s) order Long,113352.21,0.0088,999.888472,-6.38,-0.64,0,0.00,-4.65,-0.46,-1128.23,-11.28
289,Entry long,2025-10-11 05:49,Long,113623.69,0.0088,999.888472,-6.38,-0.64,0,0.00,-4.65,-0.46,-1128.23,-11.28
290,Exit long,2025-10-11 06:39,Close entry(s) order Long,113577.86,0.008795,999.998624,-5.08,-0.51,1.56,0.16,-3.27,-0.33,-1133.31,-11.33
290,Entry long,2025-10-11 06:17,Long,113700.81,0.008795,999.998624,-5.08,-0.51,1.56,0.16,-3.27,-0.33,-1133.31,-11.33
291,Exit long,2025-10-11 09:38,Close entry(s) order Long,113902.57,0.008862,999.9002576,5.49,0.55,10.77,1.07,-3.61,-0.36,-1127.83,-11.28
291,Entry long,2025-10-11 08:17,Long,112830.09,0.008862,999.9002576,5.49,0.55,10.77,1.07,-3.61,-0.36,-1127.83,-11.28
292,Exit long,2025-10-11 11:04,Close entry(s) order Long,114181.95,0.008776,999.9495509,-1.89,-0.19,2.52,0.25,-3.24,-0.32,-1129.72,-11.30
292,Entry long,2025-10-11 10:06,Long,113941.38,0.008776,999.9495509,-1.89,-0.19,2.52,0.25,-3.24,-0.32,-1129.72,-11.30
293,Exit long,2025-10-11 12:08,Close entry(s) order Long,114307.46,0.008738,999.950506,-5.13,-0.51,0,0.00,-3.22,-0.32,-1134.85,-11.35
293,Entry long,2025-10-11 11:26,Long,114437,0.008738,999.950506,-5.13,-0.51,0,0.00,-3.22,-0.32,-1134.85,-11.35
294,Exit long,2025-10-11 12:40,Close entry(s) order Long,114540.96,0.008723,999.9071096,-4.76,-0.48,0,0.00,-3.56,-0.36,-1139.61,-11.40
294,Entry long,2025-10-11 12:22,Long,114628.81,0.008723,999.9071096,-4.76,-0.48,0,0.00,-3.56,-0.36,-1139.61,-11.40
295,Exit long,2025-10-11 13:07,Close entry(s) order Long,114552.52,0.008728,999.9623342,-4.15,-0.41,0,0.00,-3.18,-0.32,-1143.76,-11.44
295,Entry long,2025-10-11 12:57,Long,114569.47,0.008728,999.9623342,-4.15,-0.41,0,0.00,-3.18,-0.32,-1143.76,-11.44
296,Exit long,2025-10-11 13:23,Close entry(s) order Long,114489.59,0.008719,999.9658927,-5.73,-0.57,0,0.00,-3.92,-0.39,-1149.49,-11.49
296,Entry long,2025-10-11 13:13,Long,114688.14,0.008719,999.9658927,-5.73,-0.57,0,0.00,-3.92,-0.39,-1149.49,-11.49
297,Exit long,2025-10-11 14:12,Close entry(s) order Long,114415.86,0.00873,999.9876276,-5.13,-0.51,0,0.00,-3.39,-0.34,-1154.62,-11.55
297,Entry long,2025-10-11 13:49,Long,114546.12,0.00873,999.9876276,-5.13,-0.51,0,0.00,-3.39,-0.34,-1154.62,-11.55
298,Exit long,2025-10-11 14:46,Close entry(s) order Long,114275.02,0.008741,999.9940007,-5.11,-0.51,0,0.00,-3.26,-0.33,-1159.74,-11.60
298,Entry long,2025-10-11 14:40,Long,114402.7,0.008741,999.9940007,-5.11,-0.51,0,0.00,-3.26,-0.33,-1159.74,-11.60
299,Exit long,2025-10-11 15:32,Close entry(s) order Long,114247.2,0.008738,999.9927105,-5.7,-0.57,0,0.00,-4.06,-0.41,-1165.43,-11.65
299,Entry long,2025-10-11 15:13,Long,114441.83,0.008738,999.9927105,-5.7,-0.57,0,0.00,-4.06,-0.41,-1165.43,-11.65
300,Exit long,2025-10-11 16:21,Close entry(s) order Long,113860.3,0.008764,999.9190272,-6.04,-0.60,0,0.00,-4.3,-0.43,-1171.48,-11.71
300,Entry long,2025-10-11 16:11,Long,114093.91,0.008764,999.9190272,-6.04,-0.60,0,0.00,-4.3,-0.43,-1171.48,-11.71
301,Exit long,2025-10-11 17:40,Close entry(s) order Long,114009.4,0.00878,999.9654384,-2.96,-0.30,1.03,0.10,-3.43,-0.34,-1174.44,-11.74
301,Entry long,2025-10-11 16:56,Long,113891.28,0.00878,999.9654384,-2.96,-0.30,1.03,0.10,-3.43,-0.34,-1174.44,-11.74
302,Exit long,2025-10-11 18:06,Close entry(s) order Long,113975.92,0.008769,999.9121458,-4.46,-0.44,0,0.00,-2.81,-0.28,-1178.9,-11.79
302,Entry long,2025-10-11 18:02,Long,114028.07,0.008769,999.9121458,-4.46,-0.44,0,0.00,-2.81,-0.28,-1178.9,-11.79
303,Exit long,2025-10-11 18:48,Close entry(s) order Long,113903.72,0.008774,999.9368943,-4.54,-0.45,0,0.00,-2.72,-0.27,-1183.44,-11.83
303,Entry long,2025-10-11 18:36,Long,113965.91,0.008774,999.9368943,-4.54,-0.45,0,0.00,-2.72,-0.27,-1183.44,-11.83
304,Exit long,2025-10-11 18:56,Close entry(s) order Long,113951.82,0.008771,999.9446087,-4.47,-0.45,0,0.00,-2.78,-0.28,-1187.91,-11.88
304,Entry long,2025-10-11 18:53,Long,114005.77,0.008771,999.9446087,-4.47,-0.45,0,0.00,-2.78,-0.28,-1187.91,-11.88
305,Exit long,2025-10-11 22:20,Close entry(s) order Long,112435.76,0.00894,999.9523206,1.21,0.12,6,0.60,-2.32,-0.23,-1186.7,-11.87
